Nuovo Codice Prestazione Catalogo,Nuova Descrizione Prestazione,Accesso,Numero Prestazioni Erogate,Descrizione Completa Prestazione,Frequenza Erogazione
8308,Hiv1 Dnasequenziamento Per Farmacoresistenza Inibitori Proteasitrascrittasi Sangue,12Altro Accesso Senza Oneri Per Ssn,1,8308  Hiv1 Dnasequenziamento Per Farmacoresistenza Inibitori Proteasitrascrittasi Sangue  12Altro Accesso Senza Oneri Per Ssn,Bassa
8308,Hiv1 Dnasequenziamento Per Farmacoresistenza Inibitori Proteasitrascrittasi Compresa Estrazione E Pcr Sangue,12Altro Accesso Senza Oneri Per Ssn,54,8308  Hiv1 Dnasequenziamento Per Farmacoresistenza Inibitori Proteasitrascrittasi Compresa Estrazione E Pcr Sangue  12Altro Accesso Senza Oneri Per Ssn,Media
8311,Hiv1 Rnasequenziamento Per Farmacoresistenza Inibitori Integrasi Sangue,12Altro Accesso Senza Oneri Per Ssn,6,8311  Hiv1 Rnasequenziamento Per Farmacoresistenza Inibitori Integrasi Sangue  12Altro Accesso Senza Oneri Per Ssn,Bassa
8311,Hiv1 Rnasequenziamento Per Farmacoresistenza Inibitori Integrasi Compresa Estrazione E Pcr Sangue,12Altro Accesso Senza Oneri Per Ssn,77,8311  Hiv1 Rnasequenziamento Per Farmacoresistenza Inibitori Integrasi Compresa Estrazione E Pcr Sangue  12Altro Accesso Senza Oneri Per Ssn,Media
8312,Hiv1 Rnasequenziamento Per Farmacoresistenza Inibitori Proteasitrascrittasi Sangue,12Altro Accesso Senza Oneri Per Ssn,5,8312  Hiv1 Rnasequenziamento Per Farmacoresistenza Inibitori Proteasitrascrittasi Sangue  12Altro Accesso Senza Oneri Per Ssn,Bassa
8312,Hiv1 Rnasequenziamento Per Farmacoresistenza Inibitori Proteasitrascrittasi Compresa Estrazione E Pcr Sangue,12Altro Accesso Senza Oneri Per Ssn,26,8312  Hiv1 Rnasequenziamento Per Farmacoresistenza Inibitori Proteasitrascrittasi Compresa Estrazione E Pcr Sangue  12Altro Accesso Senza Oneri Per Ssn,Media
8322,Influenza A Virus Anticorpi Iga Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,7,8322  Influenza A Virus Anticorpi Iga Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Bassa
8323,Influenza A Virus Anticorpi Igg Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,8,8323  Influenza A Virus Anticorpi Igg Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Bassa
8324,Influenza B Virus Anticorpi Iga Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,6,8324  Influenza B Virus Anticorpi Iga Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Bassa
8325,Influenza B Virus Anticorpi Igg Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,6,8325  Influenza B Virus Anticorpi Igg Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Bassa
8333,,12Altro Accesso Senza Oneri Per Ssn,4,8333    12Altro Accesso Senza Oneri Per Ssn,Bassa
8333,Micobatteri Espettorato Ricerca Microscopica Campione 2,12Altro Accesso Senza Oneri Per Ssn,38,8333  Micobatteri Espettorato Ricerca Microscopica Campione 2  12Altro Accesso Senza Oneri Per Ssn,Media
8334,,12Altro Accesso Senza Oneri Per Ssn,5,8334    12Altro Accesso Senza Oneri Per Ssn,Bassa
8334,Micobatteri Espettorato Ricerca Microscopica Campione 3,12Altro Accesso Senza Oneri Per Ssn,28,8334  Micobatteri Espettorato Ricerca Microscopica Campione 3  12Altro Accesso Senza Oneri Per Ssn,Media
8339,Parassiti Feci Ricerca Macro E Microscopica Campione 2,12Altro Accesso Senza Oneri Per Ssn,14,8339  Parassiti Feci Ricerca Macro E Microscopica Campione 2  12Altro Accesso Senza Oneri Per Ssn,Media
8340,Parassiti Feci Ricerca Macro E Microscopica Campione 3,12Altro Accesso Senza Oneri Per Ssn,15,8340  Parassiti Feci Ricerca Macro E Microscopica Campione 3  12Altro Accesso Senza Oneri Per Ssn,Media
8352,Plgf Placental Grow Factor Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,387,8352  Plgf Placental Grow Factor Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Alta
8357,Proteine Totali Liquor,12Altro Accesso Senza Oneri Per Ssn,99,8357  Proteine Totali Liquor  12Altro Accesso Senza Oneri Per Ssn,Alta
8359,Ricerca Batteri Produttori Di Carbapenemasi Esame Colturale Tampone Rettale,12Altro Accesso Senza Oneri Per Ssn,23,8359  Ricerca Batteri Produttori Di Carbapenemasi Esame Colturale Tampone Rettale  12Altro Accesso Senza Oneri Per Ssn,Media
8359,Ricerca Batteri Produttori Di Carbapenemasi Tampone Rettale Esame Colturale Per Monitoraggio,12Altro Accesso Senza Oneri Per Ssn,151,8359  Ricerca Batteri Produttori Di Carbapenemasi Tampone Rettale Esame Colturale Per Monitoraggio  12Altro Accesso Senza Oneri Per Ssn,Alta
8361,Sangue Occulto  Feci Campione 1,12Altro Accesso Senza Oneri Per Ssn,273,8361  Sangue Occulto  Feci Campione 1  12Altro Accesso Senza Oneri Per Ssn,Alta
8362,Sangue Occulto  Feci Campione 2,12Altro Accesso Senza Oneri Per Ssn,228,8362  Sangue Occulto  Feci Campione 2  12Altro Accesso Senza Oneri Per Ssn,Alta
8363,Sangue Occulto  Feci Campione 3,12Altro Accesso Senza Oneri Per Ssn,224,8363  Sangue Occulto  Feci Campione 3  12Altro Accesso Senza Oneri Per Ssn,Alta
8364,Tempo Di Protrombina Per Tao Inr Plasma,12Altro Accesso Senza Oneri Per Ssn,1582,8364  Tempo Di Protrombina Per Tao Inr Plasma  12Altro Accesso Senza Oneri Per Ssn,Alta
8365,Test Di Mixing Ptt Plasma,12Altro Accesso Senza Oneri Per Ssn,2,8365  Test Di Mixing Ptt Plasma  12Altro Accesso Senza Oneri Per Ssn,Bassa
8366,Tipizzazione Immunofenotipica Per Identificazione Di Cloni Di Emoglobinuria Parossistica Notturna,12Altro Accesso Senza Oneri Per Ssn,5,8366  Tipizzazione Immunofenotipica Per Identificazione Di Cloni Di Emoglobinuria Parossistica Notturna  12Altro Accesso Senza Oneri Per Ssn,Bassa
8367,Tipizzazione Immunofenotipica Per  Leucemia Acuta Compresi Eventuali Approfondimenti,12Altro Accesso Senza Oneri Per Ssn,11,8367  Tipizzazione Immunofenotipica Per  Leucemia Acuta Compresi Eventuali Approfondimenti  12Altro Accesso Senza Oneri Per Ssn,Bassa
8367,Tipizzazione Immunofenotipica Per Leucemia Acuta Compresi Eventuali Approfondimenti,12Altro Accesso Senza Oneri Per Ssn,2,8367  Tipizzazione Immunofenotipica Per Leucemia Acuta Compresi Eventuali Approfondimenti  12Altro Accesso Senza Oneri Per Ssn,Bassa
8370,Tipizzazione Immunofenotipica Per  Mieloma Multiploleucemia Plasmacellulare  Compresi Eventuali Approfondimenti,12Altro Accesso Senza Oneri Per Ssn,4,8370  Tipizzazione Immunofenotipica Per  Mieloma Multiploleucemia Plasmacellulare  Compresi Eventuali Approfondimenti  12Altro Accesso Senza Oneri Per Ssn,Bassa
8373,Tipizzazione Immunofenotipica Per  Patologia  Linfoproliferativa  Compresi Eventuali Approfondimenti,12Altro Accesso Senza Oneri Per Ssn,61,8373  Tipizzazione Immunofenotipica Per  Patologia  Linfoproliferativa  Compresi Eventuali Approfondimenti  12Altro Accesso Senza Oneri Per Ssn,Media
8373,Tipizzazione Immunofenotipica Per Patologia Linfoproliferativa Compresi Eventuali Approfondimenti,12Altro Accesso Senza Oneri Per Ssn,6,8373  Tipizzazione Immunofenotipica Per Patologia Linfoproliferativa Compresi Eventuali Approfondimenti  12Altro Accesso Senza Oneri Per Ssn,Bassa
8375,Tipizzazione Immunofenotipica Leucocitaria  Di Base  Compresi Eventuali Approfondimenti,12Altro Accesso Senza Oneri Per Ssn,11,8375  Tipizzazione Immunofenotipica Leucocitaria  Di Base  Compresi Eventuali Approfondimenti  12Altro Accesso Senza Oneri Per Ssn,Bassa
8375,Tipizzazione Immunofenotipica Leucocitaria Di Base Compresi Eventuali Approfondimenti,12Altro Accesso Senza Oneri Per Ssn,3,8375  Tipizzazione Immunofenotipica Leucocitaria Di Base Compresi Eventuali Approfondimenti  12Altro Accesso Senza Oneri Per Ssn,Bassa
8377,Toxoplasma Anticorpi Reflex Test Iggigmapprofondimento Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,2,8377  Toxoplasma Anticorpi Reflex Test Iggigmapprofondimento Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Bassa
8378,Troponina T Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,302,8378  Troponina T Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Alta
8379,Trypanosoma Cruzi Anticorpi Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,1,8379  Trypanosoma Cruzi Anticorpi Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Bassa
8379,Trypanosoma Cruzi Anticorpi Igg Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,6,8379  Trypanosoma Cruzi Anticorpi Igg Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Bassa
8380,Zika Virus Zikv Anticorpi Igg Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,30,8380  Zika Virus Zikv Anticorpi Igg Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Media
8382,Zika Virus Zikv Anticorpi Igm Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,31,8382  Zika Virus Zikv Anticorpi Igm Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Media
8385,Zika Virus Zikv Rnapcr Qualiquantitativa Liquor,12Altro Accesso Senza Oneri Per Ssn,4,8385  Zika Virus Zikv Rnapcr Qualiquantitativa Liquor  12Altro Accesso Senza Oneri Per Ssn,Bassa
8386,Zika Virus Zikv Rnapcr Qualiquantitativa Sangue,12Altro Accesso Senza Oneri Per Ssn,13,8386  Zika Virus Zikv Rnapcr Qualiquantitativa Sangue  12Altro Accesso Senza Oneri Per Ssn,Media
8387,,12Altro Accesso Senza Oneri Per Ssn,1,8387    12Altro Accesso Senza Oneri Per Ssn,Bassa
8387,Zika Virus Zikv Rnapcr Qualiquantitativa Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,4,8387  Zika Virus Zikv Rnapcr Qualiquantitativa Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Bassa
8395,Zika Virus Zikv Rnapcr Qualiquantitativa Urine,12Altro Accesso Senza Oneri Per Ssn,7,8395  Zika Virus Zikv Rnapcr Qualiquantitativa Urine  12Altro Accesso Senza Oneri Per Ssn,Bassa
8404,Epatite E Hev Anticorpi Igm Hevab Igm Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,126,8404  Epatite E Hev Anticorpi Igm Hevab Igm Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Alta
8411,,12Altro Accesso Senza Oneri Per Ssn,8,8411    12Altro Accesso Senza Oneri Per Ssn,Bassa
8411,Attivita Endotossinica Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,40,8411  Attivita Endotossinica Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Media
8413,,12Altro Accesso Senza Oneri Per Ssn,2,8413    12Altro Accesso Senza Oneri Per Ssn,Bassa
8413,Plasmodium Spp Malaria Dnapcr Qualiquantitativa Metodo Lamp Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,16,8413  Plasmodium Spp Malaria Dnapcr Qualiquantitativa Metodo Lamp Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Media
8441,Batteri Aerobi E Lieviti Patogeni Liquido Biologico Generico Coltura,12Altro Accesso Senza Oneri Per Ssn,27,8441  Batteri Aerobi E Lieviti Patogeni Liquido Biologico Generico Coltura  12Altro Accesso Senza Oneri Per Ssn,Media
8441,Esame Colturale Campioni  Biologici Diversi Nas Ricerca Completa Batteri E Lieviti Patogeni Se Positivo Incluso Identificazione E Antibiogramma Sui Patogeni,12Altro Accesso Senza Oneri Per Ssn,3,8441  Esame Colturale Campioni  Biologici Diversi Nas Ricerca Completa Batteri E Lieviti Patogeni Se Positivo Incluso Identificazione E Antibiogramma Sui Patogeni  12Altro Accesso Senza Oneri Per Ssn,Bassa
8444,Batteri Aerobi E Lieviti Patogeni Materiale Da Sacca Aferetica Coltura,12Altro Accesso Senza Oneri Per Ssn,5,8444  Batteri Aerobi E Lieviti Patogeni Materiale Da Sacca Aferetica Coltura  12Altro Accesso Senza Oneri Per Ssn,Bassa
8444,Esame Colturale Campioni  Biologici Diversi Nas Ricerca Completa Batteri E Lieviti Patogeni Se Positivo Incluso Identificazione E Antibiogramma Sui Patogeni,12Altro Accesso Senza Oneri Per Ssn,3,8444  Esame Colturale Campioni  Biologici Diversi Nas Ricerca Completa Batteri E Lieviti Patogeni Se Positivo Incluso Identificazione E Antibiogramma Sui Patogeni  12Altro Accesso Senza Oneri Per Ssn,Bassa
8448,Batteri Aerobi E Lieviti Patogeni Placenta Coltura,12Altro Accesso Senza Oneri Per Ssn,6,8448  Batteri Aerobi E Lieviti Patogeni Placenta Coltura  12Altro Accesso Senza Oneri Per Ssn,Bassa
8448,Esame Colturale Campioni  Biologici Diversi Nas Ricerca Completa Batteri E Lieviti Patogeni Se Positivo Incluso Identificazione E Antibiogramma Sui Patogeni,12Altro Accesso Senza Oneri Per Ssn,1,8448  Esame Colturale Campioni  Biologici Diversi Nas Ricerca Completa Batteri E Lieviti Patogeni Se Positivo Incluso Identificazione E Antibiogramma Sui Patogeni  12Altro Accesso Senza Oneri Per Ssn,Bassa
8458,Batteri Aerobi E Lieviti Esame Colturale Punta Catetere Cvc,12Altro Accesso Senza Oneri Per Ssn,1,8458  Batteri Aerobi E Lieviti Esame Colturale Punta Catetere Cvc  12Altro Accesso Senza Oneri Per Ssn,Bassa
8458,Batteri Aerobi E Lieviti Patogeni Punta Cvc Esame Colturale,12Altro Accesso Senza Oneri Per Ssn,18,8458  Batteri Aerobi E Lieviti Patogeni Punta Cvc Esame Colturale  12Altro Accesso Senza Oneri Per Ssn,Media
8483,Batteri Aerobi E Lieviti Patogeni Sangue Venoso Campione 1 Coltura Emocoltura,12Altro Accesso Senza Oneri Per Ssn,1,8483  Batteri Aerobi E Lieviti Patogeni Sangue Venoso Campione 1 Coltura Emocoltura  12Altro Accesso Senza Oneri Per Ssn,Bassa
8499,Batteri Aerobi E Lieviti Esame Colturale Urina Da Mitto Intermedio,12Altro Accesso Senza Oneri Per Ssn,5,8499  Batteri Aerobi E Lieviti Esame Colturale Urina Da Mitto Intermedio  12Altro Accesso Senza Oneri Per Ssn,Bassa
8509,Batteri Anaerobi Liquido Biologico Generico Coltura,12Altro Accesso Senza Oneri Per Ssn,19,8509  Batteri Anaerobi Liquido Biologico Generico Coltura  12Altro Accesso Senza Oneri Per Ssn,Media
8509,Esame Colturale Campioni  Biologici Diversi Nas Ricerca Completa Batteri E Lieviti Patogeni Se Positivo Incluso Identificazione E Antibiogramma Sui Patogeni,12Altro Accesso Senza Oneri Per Ssn,2,8509  Esame Colturale Campioni  Biologici Diversi Nas Ricerca Completa Batteri E Lieviti Patogeni Se Positivo Incluso Identificazione E Antibiogramma Sui Patogeni  12Altro Accesso Senza Oneri Per Ssn,Bassa
8510,Batteri Anaerobi Materiale Da Sacca Aferetica Coltura,12Altro Accesso Senza Oneri Per Ssn,5,8510  Batteri Anaerobi Materiale Da Sacca Aferetica Coltura  12Altro Accesso Senza Oneri Per Ssn,Bassa
8510,Esame Colturale Campioni  Biologici Diversi Nas Ricerca Completa Batteri E Lieviti Patogeni Se Positivo Incluso Identificazione E Antibiogramma Sui Patogeni,12Altro Accesso Senza Oneri Per Ssn,3,8510  Esame Colturale Campioni  Biologici Diversi Nas Ricerca Completa Batteri E Lieviti Patogeni Se Positivo Incluso Identificazione E Antibiogramma Sui Patogeni  12Altro Accesso Senza Oneri Per Ssn,Bassa
8513,Batteri Anaerobi Placenta Coltura,12Altro Accesso Senza Oneri Per Ssn,6,8513  Batteri Anaerobi Placenta Coltura  12Altro Accesso Senza Oneri Per Ssn,Bassa
8524,Batteri Anaerobi Sangue Da Cvc Campione 1 Coltura Emocoltura,12Altro Accesso Senza Oneri Per Ssn,1,8524  Batteri Anaerobi Sangue Da Cvc Campione 1 Coltura Emocoltura  12Altro Accesso Senza Oneri Per Ssn,Bassa
8534,Batteri Anaerobi Sangue Venoso Campione 1 Coltura Emocoltura,12Altro Accesso Senza Oneri Per Ssn,1,8534  Batteri Anaerobi Sangue Venoso Campione 1 Coltura Emocoltura  12Altro Accesso Senza Oneri Per Ssn,Bassa
8606,,12Altro Accesso Senza Oneri Per Ssn,1,8606    12Altro Accesso Senza Oneri Per Ssn,Bassa
8606,Enterovirus Rnapcr Qualiquantitativa Materiale Vario,12Altro Accesso Senza Oneri Per Ssn,4,8606  Enterovirus Rnapcr Qualiquantitativa Materiale Vario  12Altro Accesso Senza Oneri Per Ssn,Bassa
8608,Enterovirus Rnapcr Qualiquantitativa Tampone Faringeo,12Altro Accesso Senza Oneri Per Ssn,1,8608  Enterovirus Rnapcr Qualiquantitativa Tampone Faringeo  12Altro Accesso Senza Oneri Per Ssn,Bassa
8666,Micobatteri Dnapcr Materiali Vari,12Altro Accesso Senza Oneri Per Ssn,30,8666  Micobatteri Dnapcr Materiali Vari  12Altro Accesso Senza Oneri Per Ssn,Media
8666,Mycobacterium Dnapcr Materiali Vari,12Altro Accesso Senza Oneri Per Ssn,1,8666  Mycobacterium Dnapcr Materiali Vari  12Altro Accesso Senza Oneri Per Ssn,Bassa
8676,Parassiti Urine Dopo Centrifugazione Ricerca Microscopica,12Altro Accesso Senza Oneri Per Ssn,1,8676  Parassiti Urine Dopo Centrifugazione Ricerca Microscopica  12Altro Accesso Senza Oneri Per Ssn,Bassa
8679,Pcr Multiplex Agenti Infettivi Liquor,12Altro Accesso Senza Oneri Per Ssn,65,8679  Pcr Multiplex Agenti Infettivi Liquor  12Altro Accesso Senza Oneri Per Ssn,Media
8679,Pcr Multiplex Meningiti Batterichevirali Microarray Liquor,12Altro Accesso Senza Oneri Per Ssn,578,8679  Pcr Multiplex Meningiti Batterichevirali Microarray Liquor  12Altro Accesso Senza Oneri Per Ssn,Alta
8681,Pcr Multiplex Microarray Per Determinanti Di Resistenza Ed Identificazione Di Microrganismi Da Emocoltura Positiva Sangue,12Altro Accesso Senza Oneri Per Ssn,10,8681  Pcr Multiplex Microarray Per Determinanti Di Resistenza Ed Identificazione Di Microrganismi Da Emocoltura Positiva Sangue  12Altro Accesso Senza Oneri Per Ssn,Bassa
8682,Pcr Multiplex Microarray Per Gastroenteriti Battericheviraliparassitarie Feci,12Altro Accesso Senza Oneri Per Ssn,11,8682  Pcr Multiplex Microarray Per Gastroenteriti Battericheviraliparassitarie Feci  12Altro Accesso Senza Oneri Per Ssn,Bassa
8683,Pcr Multiplex Determinanti Di Resistenza Tampone Rettale,12Altro Accesso Senza Oneri Per Ssn,8,8683  Pcr Multiplex Determinanti Di Resistenza Tampone Rettale  12Altro Accesso Senza Oneri Per Ssn,Bassa
8683,Pcr Multiplex Real Time Per Determinanti Di Resistenza Materiale Vario,12Altro Accesso Senza Oneri Per Ssn,74,8683  Pcr Multiplex Real Time Per Determinanti Di Resistenza Materiale Vario  12Altro Accesso Senza Oneri Per Ssn,Media
8690,Polyomavirus Jc Jcv Dnapcr Qualiquantitativa Materiale Vario,12Altro Accesso Senza Oneri Per Ssn,4,8690  Polyomavirus Jc Jcv Dnapcr Qualiquantitativa Materiale Vario  12Altro Accesso Senza Oneri Per Ssn,Bassa
8698,Ricerca Enterococchi Glicopeptide Resistenti Gre Materiale Vario,12Altro Accesso Senza Oneri Per Ssn,10,8698  Ricerca Enterococchi Glicopeptide Resistenti Gre Materiale Vario  12Altro Accesso Senza Oneri Per Ssn,Bassa
8699,Ricerca Microscopica Materiale Vario,12Altro Accesso Senza Oneri Per Ssn,1,8699  Ricerca Microscopica Materiale Vario  12Altro Accesso Senza Oneri Per Ssn,Bassa
8700,Ricerca Staphylococcus Aureus Meticillino Resistente Mrsa Materiale Vario,12Altro Accesso Senza Oneri Per Ssn,15,8700  Ricerca Staphylococcus Aureus Meticillino Resistente Mrsa Materiale Vario  12Altro Accesso Senza Oneri Per Ssn,Media
8700,Staphylococcus Aureus Meticillino Resistente Mrsa Esame Colturale Tampone Nasale,12Altro Accesso Senza Oneri Per Ssn,6,8700  Staphylococcus Aureus Meticillino Resistente Mrsa Esame Colturale Tampone Nasale  12Altro Accesso Senza Oneri Per Ssn,Bassa
8749,Helicobacter Pylori Anticorpi Iga Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,7,8749  Helicobacter Pylori Anticorpi Iga Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Bassa
8750,Renina Dosaggio Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,31,8750  Renina Dosaggio Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Media
8750,Renina Non Associabile A Ormoni Dosaggi Seriali 90352,12Altro Accesso Senza Oneri Per Ssn,11,8750  Renina Non Associabile A Ormoni Dosaggi Seriali 90352  12Altro Accesso Senza Oneri Per Ssn,Bassa
8751,Anticorpi Anti Piastrine Indotti Da Eparina Sangue,12Altro Accesso Senza Oneri Per Ssn,3,8751  Anticorpi Anti Piastrine Indotti Da Eparina Sangue  12Altro Accesso Senza Oneri Per Ssn,Bassa
8753,Test Di Stimolo Alla Secretina,12Altro Accesso Senza Oneri Per Ssn,4,8753  Test Di Stimolo Alla Secretina  12Altro Accesso Senza Oneri Per Ssn,Bassa
8755,Siero Amiloide A Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,2,8755  Siero Amiloide A Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Bassa
8763,Parassiti Vermi Adulti Esame Macroscopico,12Altro Accesso Senza Oneri Per Ssn,1,8763  Parassiti Vermi Adulti Esame Macroscopico  12Altro Accesso Senza Oneri Per Ssn,Bassa
8764,Epatite C Virus Hcv Tipizzazione Genomica,12Altro Accesso Senza Oneri Per Ssn,9,8764  Epatite C Virus Hcv Tipizzazione Genomica  12Altro Accesso Senza Oneri Per Ssn,Bassa
8766,Test Di Aggregazione Piastrinica Adp5 Umoll Sangue,12Altro Accesso Senza Oneri Per Ssn,1,8766  Test Di Aggregazione Piastrinica Adp5 Umoll Sangue  12Altro Accesso Senza Oneri Per Ssn,Bassa
8767,Test Di Aggregazione Piastrinica Adrenalinaepinefrina 5Umoll Sangue,12Altro Accesso Senza Oneri Per Ssn,1,8767  Test Di Aggregazione Piastrinica Adrenalinaepinefrina 5Umoll Sangue  12Altro Accesso Senza Oneri Per Ssn,Bassa
8768,Anticorpi Anti Fosfolipasi A2 Recettore Pla2R Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,23,8768  Anticorpi Anti Fosfolipasi A2 Recettore Pla2R Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Media
8769,Test Nipt Test Del Dna Fetale Su Plasma Materno Mediante Sequenziamento Massivo In Parallelo A Basso Coverage,12Altro Accesso Senza Oneri Per Ssn,316,8769  Test Nipt Test Del Dna Fetale Su Plasma Materno Mediante Sequenziamento Massivo In Parallelo A Basso Coverage  12Altro Accesso Senza Oneri Per Ssn,Alta
8770,Test Nipt In Gravidanze Singole Test Del Dna Fetale Su Plasma Materno Mediante Sequenziamento Massivo In Parallelo A Basso Coverage,12Altro Accesso Senza Oneri Per Ssn,7,8770  Test Nipt In Gravidanze Singole Test Del Dna Fetale Su Plasma Materno Mediante Sequenziamento Massivo In Parallelo A Basso Coverage  12Altro Accesso Senza Oneri Per Ssn,Bassa
8771,Test Nipt In Gravidanze Gemellari Bigemine Test Del Dna Fetale Su Plasma Materno Mediante Sequenziamento Massivo In Parallelo A Basso Coverage,12Altro Accesso Senza Oneri Per Ssn,1,8771  Test Nipt In Gravidanze Gemellari Bigemine Test Del Dna Fetale Su Plasma Materno Mediante Sequenziamento Massivo In Parallelo A Basso Coverage  12Altro Accesso Senza Oneri Per Ssn,Bassa
8829,Coronavirus Sarscov2 Rna Genoma Sangue,12Altro Accesso Senza Oneri Per Ssn,4,8829  Coronavirus Sarscov2 Rna Genoma Sangue  12Altro Accesso Senza Oneri Per Ssn,Bassa
8831,Coronavirus Sarscov2Rna Genoma Materiale Vario,12Altro Accesso Senza Oneri Per Ssn,1,8831  Coronavirus Sarscov2Rna Genoma Materiale Vario  12Altro Accesso Senza Oneri Per Ssn,Bassa
8833,Coronavirus Ncov2019 Rna Genoma Broncolavaggio,12Altro Accesso Senza Oneri Per Ssn,74,8833  Coronavirus Ncov2019 Rna Genoma Broncolavaggio  12Altro Accesso Senza Oneri Per Ssn,Media
8833,Coronavirus Sarscov2 Rna Broncolavaggio,12Altro Accesso Senza Oneri Per Ssn,9,8833  Coronavirus Sarscov2 Rna Broncolavaggio  12Altro Accesso Senza Oneri Per Ssn,Bassa
8835,Anticorpi Anti Sarscov2 Igg Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,3,8835  Anticorpi Anti Sarscov2 Igg Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Bassa
8835,Sarscov2 Igg Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,1,8835  Sarscov2 Igg Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Bassa
8837,Anticorpi Anti Sarscov2 Igm Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,4,8837  Anticorpi Anti Sarscov2 Igm Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Bassa
8837,Sarscov2 Igm Sieroplasma,12Altro Accesso Senza Oneri Per Ssn,1,8837  Sarscov2 Igm Sieroplasma  12Altro Accesso Senza Oneri Per Ssn,Bassa
8838,,12Altro Accesso Senza Oneri Per Ssn,12,8838    12Altro Accesso Senza Oneri Per Ssn,Media
8838,Coronavirus Sarscov2 Rna Genoma Tampone Nasofaringeo T0,12Altro Accesso Senza Oneri Per Ssn,34,8838  Coronavirus Sarscov2 Rna Genoma Tampone Nasofaringeo T0  12Altro Accesso Senza Oneri Per Ssn,Media
8839,Coronavirus Sarscov2 Rna Genoma Tampone Nasofaringeo T1,12Altro Accesso Senza Oneri Per Ssn,1,8839  Coronavirus Sarscov2 Rna Genoma Tampone Nasofaringeo T1  12Altro Accesso Senza Oneri Per Ssn,Bassa
8845,Test Antigene Laboratorio Sarscov2 Tampone Nasofaringeo,12Altro Accesso Senza Oneri Per Ssn,193,8845  Test Antigene Laboratorio Sarscov2 Tampone Nasofaringeo  12Altro Accesso Senza Oneri Per Ssn,Alta
8845,Test Antigene Sarscov2 Tampone Rinofaringeo,12Altro Accesso Senza Oneri Per Ssn,22,8845  Test Antigene Sarscov2 Tampone Rinofaringeo  12Altro Accesso Senza Oneri Per Ssn,Media
8846,Coronavirus Ncov2019 Rna Genoma Broncoaspirato,12Altro Accesso Senza Oneri Per Ssn,1,8846  Coronavirus Ncov2019 Rna Genoma Broncoaspirato  12Altro Accesso Senza Oneri Per Ssn,Bassa
8847,Ricerca Anticorpi Neutralizzanti Anti Sarscov2 Siero,12Altro Accesso Senza Oneri Per Ssn,1,8847  Ricerca Anticorpi Neutralizzanti Anti Sarscov2 Siero  12Altro Accesso Senza Oneri Per Ssn,Bassa
8850,,12Altro Accesso Senza Oneri Per Ssn,24,8850    12Altro Accesso Senza Oneri Per Ssn,Media
8850,Test Rapido Antigene Sarscov2 Tampone Nasale,12Altro Accesso Senza Oneri Per Ssn,26,8850  Test Rapido Antigene Sarscov2 Tampone Nasale  12Altro Accesso Senza Oneri Per Ssn,Media
